State,Capital City,State Population,Capital City Population
New South Wales,Sydney,8166369,5312163
Victoria,Melbourne,6678566,5078193
Queensland,Brisbane,5184847,2462637
Western Australia,Perth,2663081,2114448
South Australia,Adelaide,1770593,1378000
Tasmania,Hobart,541100,240342
Australian Capital Territory,Canberra,431200,431200
Northern Territory,Darwin,249400,147255
