Year,Location,MaxTemp
2008,Adelaide,20.669398907103800
2008,Brisbane,24.99398907103830
2008,Canberra,20.437978142076500
2008,Darwin,32.99945652173910
2008,Hobart,16.532608695652200
2008,Melbourne,19.419021739130400
2008,Perth,22.25191256830600
2008,Sydney,21.727761194029900
2009,Adelaide,23.442739726027400
2009,Brisbane,26.916986301369900
2009,Canberra,21.4021978021978
2009,Darwin,32.672876712328800
2009,Hobart,17.58164383561640
2009,Melbourne,21.555342465753400
2009,Perth,24.961095890411000
2009,Sydney,22.89283746556470
2010,Adelaide,22.443561643835600
2010,Brisbane,25.780769230769200
2010,Canberra,20.15068870523420
2010,Darwin,32.616164383561600
2010,Hobart,18.194794520547900
2010,Melbourne,20.96849315068490
2010,Perth,25.270958904109600
2010,Sydney,22.572054794520500
2011,Adelaide,22.677910447761200
2011,Brisbane,25.81820895522390
2011,Canberra,20.35492537313430
2011,Darwin,31.628059701492500
2011,Hobart,17.471343283582100
2011,Melbourne,20.798805970149300
2011,Perth,25.516716417910400
2011,Sydney,22.560000000000000
2012,Adelaide,22.247164179104500
2012,Brisbane,25.79311377245510
2012,Canberra,19.446567164179100
2012,Darwin,32.170149253731300
2012,Hobart,17.69313432835820
2012,Melbourne,20.34179104477610
2012,Perth,25.162985074626900
2012,Sydney,22.362089552238800
2013,Adelaide,22.867359050445100
2013,Brisbane,26.432537313432800
2013,Canberra,21.255489614243300
2013,Darwin,32.685756676557900
2013,Hobart,17.667359050445100
2013,Melbourne,20.797626112759600
2013,Perth,24.77240356083090
2013,Sydney,23.5026706231454
2014,Adelaide,23.533698630137000
2014,Brisbane,26.998626373626400
2014,Canberra,21.473972602739700
2014,Darwin,32.63780821917810
2014,Hobart,18.256986301369900
2014,Melbourne,21.66328767123290
2014,Perth,25.364383561643800
2014,Sydney,23.44438356164380
2015,Adelaide,23.16346153846150
2015,Brisbane,26.426038781163400
2015,Canberra,21.05835616438360
2015,Darwin,32.60794520547950
2015,Hobart,17.623013698630100
2015,Melbourne,30.580000000000000
2015,Perth,25.61287671232880
2015,Sydney,23.146849315068500
2016,Adelaide,22.863661202185800
2016,Brisbane,27.253698630137000
2016,Canberra,21.19344262295080
2016,Darwin,33.235245901639300
2016,Hobart,18.221584699453600
2016,Melbourne,18.212244897959200
2016,Perth,24.151092896174900
2016,Sydney,23.84016393442620
2017,Adelaide,24.97714285714290
2017,Brisbane,28.108670520231200
2017,Canberra,23.405681818181800
2017,Darwin,32.012
2017,Hobart,19.58685714285710
2017,Melbourne,22.26875
2017,Perth,26.888636363636400
2017,Sydney,24.683522727272700
