State or Territory,Water Consumption (Megaliters per capita)
Tasmania,0.81
Western Australia,0.68
Queensland,0.61
New South Wales,0.61
Northern Territory,0.58
South Australia,0.54
Victoria,0.44
Australian Capital Territory,0.09
